Blog	four	second	here	reported	k	music	until	example	want	travel	feature	how	wrong	series	re	wasn	service	needed	listen	project	person	saying	release	result	best	asked	much	life	worked	things	had	easy	has	possible	right	old	people	support	happy	inside	ddos	time	team	sign	current	understanding	along	love	working	following	so	course	didn	internet	million	quite	massive	one	vote	open	city	future	turned	say	note	take	knew	ways	going	where	many	photos	former	technology	being	around	traffic	world	power	side	image	her	october	am	an	original	tv	th	case	large	small	past	hours	social	via	single	company	learn	sense	its	always	found	really	major	obama	self	also	play	sometimes	set	see	movie	available	last	whole	community	recent	amp	readers	couple	d	continue	be	anything	clinton	into	link	line	posted	up	us	ago	came	having	try	video	let	great	makes	tools	next	process	high	move	presidential	doing	could	put	start	system	haven	face	fact	bring	should	hope	means	stuff	email	co	ve	off	less	web	five	become	does	problem	chance	worth	told	total	work	after	order	then	them	they	network	created	another	do	away	com	information	voice	hand	photo	thanks	board	night	security	comments	post	months	way	true	update	together	change	live	car	write	product	remember	still	non	half	now	domain	year	space	looking	shows	care	directly	friend	than	online	america	only	between	article	comes	learning	these	media	real	read	early	using	business	your	aren	lot	building	since	month	very	learned	family	ask	takes	site	history	tried	help	soon	actually	event	reason	american	clear	pretty	during	x	close	won	probably	both	else	lives	look	while	used	friends	user	game	some	run	step	seeing	within	himself	similar	doesn	e	go	facebook	click	win	started	control	including	him	special	completely	keep	powerful	such	data	attack	final	need	able	anyway	based	years	she	computer	state	key	group	well	lost	page	twitter	home	he	stories	piece	skills	companies	across	likely	even	tips	ever	never	campaign	tell	room	give	amazing	answer	president	before	personal	better	weeks	went	mean	content	reader	isn	features	matter	seen	don	m	stop	bad	decided	said	against	appeared	three	website	if	make	left	just	human	yes	yet	save	deal	popular	down	drive	finally	me	did	useful	visit	making	may	man	maybe	talk	nbsp	interesting	policy	morning	earlier	thing	think	first	long	little	anyone	hillary	were	especially	show	sites	enough	black	get	behind	reading	according	mark	those	different	pay	same	running	money	either	trying	images	videos	youtube	again	important	u	starting	issues	public	search	published	two	particular	share	needs	coming	through	good	everyone	house	hard	idea	done	least	believe	build	most	services	find	common	simple	simply	create	understand	itself	spent	source	big	bit	google	often	back	giving	access	others	private	links	account	bunch	ll	instead	day	announced	text	taking	value	almost	thought	add	works	actual	buy	minutes	under	every	enjoy	changes	york	would	phone	my	times	end	over	writing	each	driving	got	free	wanted	days	already	top	too	took	talking	though	watch	report	full	news	conference	been	quickly	experience	several	gave	which	donald	election	everything	hear	no	focus	cool	level	posts	says	goes	today	trump	figure	huge	happened	name	turn	place	any	ideas	sure	later	written	outside	come	myself	someone	check	week	without	when	seems	blog	or	there	longer	wife	all	program	woman	far	list	design	version	known	short	might	wouldn	number	friday	feel	story	store	kind	nothing	part	his	hit	wrote	art	recently	creating	attention	c	reasons	due	know	questions	customers	question	fast	called	nice	users	problems	once	apple	app	use	few	women	something	looks	related	our	out	latest	conversation	their	who	why	please	debate	thousands	ones	words	view	will	perhaps	gets	difficult	point	other	because	getting	own	apps	made	whether	below	book
Latest from Crooks and Liars	0	0	0	0	1	2	0	0	1	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2	5	0	3	0	0	2	8	0	0	0	0	1	0	0	1	0	0	0	0	0	5	1	0	0	0	0	0	1	0	3	0	2	0	0	0	0	1	0	1	3	1	0	2	0	2	1	1	0	0	0	0	10	0	1	4	0	1	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	1	1	0	0	2	0	0	0	3	0	0	2	0	0	0	2	0	0	0	0	2	0	4	1	0	1	0	6	0	1	0	0	1	3	1	0	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	1	0	2	1	0	0	2	0	3	0	5	0	0	2	5	0	2	0	1	1	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	1	2	1	0	1	3	0	0	0	0	1	0	0	0	4	0	0	0	0	0	1	0	1	0	0	4	0	0	1	0	0	0	0	1	0	5	1	1	0	0	0	0	0	0	1	1	0	1	1	0	0	3	0	0	0	1	1	1	0	1	0	0	1	0	2	3	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	3	0	0	2	0	0	1	0	0	0	0	0	0	1	11	0	1	0	0	1	0	0	0	0	10	0	0	0	0	0	0	2	1	1	1	4	0	0	0	0	3	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	8	0	0	2	0	3	1	0	4	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	3	2	1	0	1	4	1	1	1	0	7	2	0	3	0	1	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	2	0	4	0	0	2	0	0	0	2	1	1	4	0	2	2	0	1	0	1	1	0	0	1	0	0	0	0	0	1	4	1	2	0	1	0	0	0	0	1	0	1	12	0	0	0	3	1	0	1	0	1	0	0	0	0	0	0	0	0	0	5	0	1	4	2	1	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	1	1	2	7	1	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	3	1	2	2	0	1	2	1	1	0	3	3	1	0	0	0	0	1	0	0	0	1	0	1	1	3	0	1	0	1	0	2	0
Creating Passionate Users	9	0	17	0	0	0	1	2	12	1	7	16	1	1	11	0	1	1	2	1	18	4	0	0	3	1	10	3	1	13	1	3	13	1	3	0	29	8	0	0	0	13	0	1	0	1	0	6	0	0	32	7	3	0	2	3	0	30	4	1	1	3	0	6	0	4	0	4	7	8	4	4	0	1	6	1	0	2	1	3	0	3	0	4	24	2	2	0	0	0	3	0	1	5	0	4	6	1	3	4	9	1	13	0	0	1	3	0	1	0	9	0	0	7	1	19	2	0	3	1	6	3	61	4	0	11	0	1	1	13	10	1	1	8	2	4	3	5	3	0	4	4	2	0	0	7	8	5	4	0	2	3	0	0	5	1	3	1	0	0	17	3	8	5	0	2	6	0	1	3	0	3	3	2	0	5	16	23	1	0	7	28	0	1	1	2	0	3	3	0	1	1	5	21	0	15	0	2	2	2	1	0	7	14	3	10	2	0	10	4	0	1	2	1	0	1	0	14	3	0	11	0	0	1	6	12	2	7	2	1	0	1	36	1	4	4	1	3	4	3	1	1	2	2	1	0	10	2	4	1	2	1	0	2	0	0	0	1	5	3	6	1	7	6	4	4	22	0	18	0	1	1	1	0	1	5	4	3	0	0	0	4	1	7	1	1	3	4	1	0	0	1	0	6	2	2	4	1	2	0	1	3	26	7	2	3	18	1	5	2	0	3	1	0	2	11	4	5	6	0	2	0	6	1	4	0	4	4	5	0	2	2	3	3	1	2	3	1	16	12	2	3	1	3	2	0	6	0	23	17	0	21	2	5	5	0	2	1	3	0	1	21	1	2	0	3	1	0	3	7	0	1	1	1	5	14	9	2	0	7	4	0	5	3	4	1	5	0	16	2	0	0	0	6	9	7	8	0	2	2	4	0	1	0	9	5	0	1	3	2	2	0	20	1	1	1	0	3	12	3	0	3	14	3	7	2	2	12	1	6	1	1	4	4	0	0	0	0	3	2	1	1	3	0	3	8	4	3	0	0	15	4	2	0	1	1	0	2	2	5	1	0	1	5	1	2	1	1	0	20	0	24	0	4	3	2	23	0	4	3	0	1	4	7	6	1	3	1	0	0	0	1	3	6	0	4	1	1	10	0	0	3	3	11	4	1	1	6	1	0	2	0	1	1	1	0	1	1	10	34	8	1	2	4	7	3	5	1	1	4	13	1	20	45	24	1	0	19	0	0	2	2	8	3	0	4	9	2	1	0	6	7	0	8	2	6	6	0	1	1	1	4	8	0	3	0	12	3	3	0	0	0	2	21	2	1	2	5	8	8	0	23	5	4	14	8	0	0	25	9	6	3	0	2	4	6	0	17	3	1	3	2	25	3	8	12	3	7	4	3	3
Kotaku	0	0	0	0	0	3	0	0	1	0	1	2	1	1	1	0	1	0	2	0	0	0	2	1	5	0	2	2	0	0	0	0	4	0	1	1	4	0	0	1	1	3	3	0	0	0	0	0	0	0	3	0	1	3	1	0	0	3	0	0	0	1	0	1	1	0	0	1	2	0	1	0	0	0	0	2	0	5	0	0	0	0	2	1	4	0	1	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	1	2	0	0	2	1	1	0	1	2	1	0	1	3	0	0	0	1	0	0	15	0	0	3	0	0	0	1	3	0	1	0	0	1	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	2	2	1	0	0	1	0	0	0	0	0	0	0	1	0	1	3	2	0	0	0	3	1	2	0	1	0	0	1	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	1	4	0	1	1	0	0	0	2	0	3	0	0	1	0	0	0	0	0	0	2	25	0	0	1	4	0	0	0	1	0	3	0	0	0	0	0	1	0	0	2	0	0	0	1	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	5	2	3	0	0	0	0	1	0	2	3	1	1	1	0	1	0	1	0	0	0	2	0	0	2	1	1	2	0	0	4	0	0	0	0	1	1	2	2	1	0	3	0	0	0	0	0	0	2	4	0	1	0	0	0	0	0	0	0	2	1	0	1	0	0	0	2	0	0	1	1	1	1	1	0	0	1	1	0	0	0	4	0	1	4	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	10	0	1	1	0	3	1	1	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	2	2	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	5	0	0	1	0	1	0	0	0	0	1	1	5	0	0	0	0	0	0	2	0	1	0	0	2	0	0	0	2	0	0	0	1	1	1	0	3	0	0	0	0	0	0	5	1	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0	2	0	0	0	1	1	0	1	0	0	2	1	2	1	0	7	2	0	0	10	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	4	0	0	0	3	3	0	2	1	0	0	0	0	8	0	0	1	0	0	0	2	1	0	0	0	0	0
The Write News	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	15	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0
Scobleizer	0	1	12	0	0	3	0	0	0	0	0	6	4	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	3	0	0	0	5	0	1	0	0	0	0	3	3	1	0	0	0	0	2	0	7	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	4	0	0	1	0	0	2	0	0	0	0	0	0	2	0	0	0	1	0	0	2	0	0	0	0	0	0	0	14	4	0	0	2	0	6	2	3	3	0	0	0	0	1	0	1	0	0	7	0	0	0	0	0	2	0	1	0	0	0	0	3	1	0	0	0	0	0	7	1	0	3	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	1	4	0	0	0	1	2	0	0	1	0	20	0	2	0	0	1	1	0	0	1	1	0	1	0	0	6	0	1	0	2	1	0	0	0	0	0	0	0	0	0	3	3	1	4	1	0	0	2	1	0	1	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4	0	1	0	1	0	0	1	1	0	2	3	0	6	0	0	0	0	0	1	0	0	1	5	0	3	3	0	0	0	0	4	0	0	0	0	0	0	1	0	0	1	5	0	1	0	0	0	3	1	0	3	0	0	0	0	0	4	0	0	1	0	0	0	0	1	0	0	0	0	0	0	6	3	0	1	0	1	0	0	1	0	1	2	8	0	0	0	0	0	15	0	0	2	2	0	2	0	0	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	2	0	0	0	3	0	18	1	0	0	0	0	0	4	0	0	0	2	0	14	0	0	0	0	1	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	2	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	16	0	5	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	2	1	1	0	0	0	0	1	0	0	0	0	0	11	0	0	8	1	3	0	4	0	1	0	0	0	3	0	0	0	0	0	0	1	0	2	0	0	1	0	2	0	0	2	0	5	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	1	0	1	0	6	7	4	0	0	0	0	0	3	0	0	0	1	0	6	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	4	0	0	9	4	2	3	0	3	9	0	0	0	0	0	0	7	0	0	0	0	4	2	0	0	0	0	0	0	0
Derek Powazek	0	0	6	0	0	0	0	0	1	1	0	7	1	0	7	1	0	0	0	0	0	0	0	0	1	0	1	5	1	1	3	2	5	1	4	2	2	0	4	0	0	4	0	0	0	0	1	1	0	1	7	1	1	1	0	0	0	13	3	1	0	0	2	3	0	1	1	1	4	0	1	2	0	0	0	1	0	3	0	0	0	9	0	3	5	0	0	0	0	0	2	0	0	0	0	1	1	0	0	1	4	1	2	0	0	1	2	0	0	0	3	0	1	7	0	3	0	0	2	4	2	4	7	1	0	4	2	0	1	11	4	2	1	0	1	0	1	5	0	0	1	1	1	0	0	1	1	1	0	0	0	1	0	0	1	2	0	1	0	0	11	1	1	1	0	0	0	0	1	0	0	0	3	4	0	7	2	6	1	0	3	7	1	1	0	0	1	0	0	0	2	0	0	3	2	0	1	1	1	1	2	1	3	1	0	4	0	0	10	0	4	0	1	0	0	1	1	2	2	0	1	4	0	1	0	2	2	0	0	1	1	1	6	0	1	0	1	0	1	0	1	1	0	2	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	2	1	1	0	1	1	2	0	0	3	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	2	2	0	0	0	0	0	0	0	1	1	0	0	5	7	0	0	1	0	2	0	1	1	0	5	1	0	0	0	0	0	1	0	1	3	0	0	0	0	2	1	0	1	0	0	2	3	0	1	0	0	1	0	1	4	12	0	3	1	3	1	0	4	0	9	1	1	11	0	1	1	0	1	0	2	0	0	15	4	0	1	0	0	1	1	3	0	0	0	2	0	4	4	3	1	7	0	0	2	2	3	0	5	1	6	0	4	0	0	1	0	0	3	0	3	0	0	0	0	1	2	0	0	0	2	0	0	3	9	0	1	0	1	1	1	1	0	3	0	1	0	0	0	2	0	1	0	1	1	2	0	2	3	0	1	0	0	2	2	0	0	0	0	0	0	0	4	0	2	1	0	1	0	1	1	0	0	0	1	1	1	3	1	0	0	0	0	22	1	0	5	2	1	0	1	0	0	4	1	2	2	3	1	0	1	0	1	1	1	8	0	0	0	2	2	0	0	2	0	2	0	2	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	1	0	1	3	0	0	0	3	0	11	0	1	5	7	0	1	10	0	2	0	0	1	0	0	1	1	0	1	2	5	3	0	1	0	2	3	1	1	0	0	0	0	0	0	0	6	1	0	0	1	0	2	0	0	2	0	0	0	5	0	8	0	0	3	9	0	0	4	1	1	0	0	0	0	0	0	5	0	2	0	0	3	3	2	2	0	2	0	0	6
Captain's Quarters	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	7	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	2	0	0	0	1	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0	0	2	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	1	3	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	2	0	0	2	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	1	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	2	3	0	0	0	0	0	0	1	0	0	1	0	1	0	0	2	0	0	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	6	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	4	3	0	6	1	0	0	0	0	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0
plasticbag.org	0	0	1	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	1	0	4	1	0	0	0	3	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1	5	0	2	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3	3	0	0	0	0	1	1	0	5	0	0	1	0	0	0	2	2	1	1	0	1	0	0	1	0	0	0	0	0	0	0	1	3	1	0	0	0	0	1	0	2	0	0	1	0	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	3	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	6	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	1	1	0	0	1	0	6	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	2	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	2	0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	0	1	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	2	0	0	0	1	0	0	2	1	2	0	0	6	0	0	1	1	3	0	0	0	0	1	2	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	1	2	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0
blog maverick	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	3	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	4	1	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	2	0	0	0	4	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	2	2	0	0	0	0	1	0	1	0	0	0	2	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	4	0	1	0	3	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	2	0	1	0	4	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0	4	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	4	3	4	0	0	2	0	0	0	1	0	0	1	0	0	0	2	0	0	1	0	1	2	0	2	0	1	0	1	1	1	1	1	2	2	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	4	3	0	0	2	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	2	0	1	0	0	1	0	0	0	3	0	1	0	0	1	0	0	3	2	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
kottke.org	1	2	12	2	7	0	2	0	6	6	0	33	3	5	4	1	4	0	0	5	1	5	2	2	8	2	5	7	0	9	9	1	30	1	9	4	25	0	3	3	0	28	0	3	1	1	4	10	5	2	31	5	2	0	3	2	4	21	6	8	3	0	2	4	2	7	2	1	5	8	5	5	2	1	2	12	2	13	2	3	1	11	1	4	33	6	5	5	3	3	7	2	0	3	8	2	0	3	1	10	5	1	6	2	5	5	14	2	0	6	11	2	6	8	1	8	6	3	2	0	10	0	37	4	5	25	0	0	3	23	11	5	4	4	3	29	4	6	3	0	3	7	4	2	6	4	13	3	3	2	2	3	5	0	4	2	2	3	0	5	13	4	2	24	13	4	6	0	1	0	3	2	7	8	2	10	14	29	4	2	2	9	6	0	0	1	2	1	0	5	2	0	0	4	2	12	8	2	4	4	5	2	0	0	2	10	1	3	16	0	1	3	2	2	3	1	0	10	7	5	11	2	0	2	0	5	1	2	4	2	4	2	7	0	5	2	5	2	4	1	3	0	3	2	13	0	3	0	3	1	0	8	3	2	6	5	0	2	4	2	1	1	3	4	8	2	0	12	16	1	3	1	4	2	1	4	0	5	4	0	0	2	0	3	7	3	2	0	1	2	1	3	2	1	2	0	1	17	7	4	0	0	2	6	3	2	3	7	31	2	2	1	0	2	0	8	0	5	6	2	5	1	2	4	4	0	9	2	0	1	5	2	1	1	0	2	2	5	10	14	4	2	1	6	6	1	3	1	22	6	1	10	4	0	1	1	2	1	6	1	1	15	7	0	0	2	2	3	2	2	296	1	4	0	1	3	1	15	5	4	2	5	14	1	5	0	1	7	13	1	2	2	0	7	5	0	3	4	1	1	4	2	0	1	1	3	0	1	0	2	0	3	10	1	0	0	1	13	5	5	5	2	10	2	1	0	6	12	3	4	2	2	3	1	2	2	1	1	6	1	0	2	15	0	2	1	0	0	1	2	2	5	8	1	1	4	0	3	5	1	3	3	0	0	1	5	0	0	0	7	1	21	15	3	12	2	5	1	7	6	1	2	3	5	0	10	3	3	4	0	6	4	2	20	1	0	3	1	18	9	11	6	4	11	1	2	2	1	3	2	7	19	2	1	0	4	4	2	5	0	2	4	1	2	6	1	2	0	2	5	28	1	1	23	17	2	0	28	1	9	4	0	7	4	1	7	7	2	3	0	4	8	0	1	0	3	21	2	5	3	3	1	1	1	0	2	8	1	0	0	1	4	1	0	2	1	0	0	4	3	8	8	1	1	18	26	3	4	16	19	7	0	2	0	3	9	3	12	4	2	4	2	9	13	3	5	1	14	1	2	11
